Isolate	MGT1 ST	MGT2	MGT3	MGT4	MGT5	MGT6	MGT7	MGT8	MGT9	CC-MGT2	CC-MGT3	CC-MGT4	CC-MGT5	CC-MGT6	CC-MGT7	CC-MGT8	CC-MGT9	ODC1	ODC2	ODC5	ODC10	Continent	Country	State or sub country	Postcode	Source	Type	Host	Host disease	Collection date	Collection year	Collection month
SRR3476789	19	9	32	42	46	132	48	45565	49942.1	1	2	42	46	46	48	49	47846	47846	13205	8505	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-10	2014	1
SRR3476811	19	9	32	42	46	46	48	13253	49982.1	1	2	42	46	46	48	201	47886	47886	13205	8505	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-15	2014	1
SRR3476800	19	9	51	42	46	133	48	45571	49950.1	1	2	42	46	133	48	199	47854	47854	40948	33898	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-10	2014	1
17-1157-0141	19	2	2	2	7409	2	2	20397	22054.1	1	2	2	2	2	2	36	14595	14595	14006	2	2	Oceania	Australia	NSW						2017-01-10	2017	1
17-1157-0100	19	9	32	42	88	95	48	8024	22037.1	1	2	42	46	46	48	8017	20549	20549	8533	8505	50	Oceania	Australia	NSW						2017-01-08	2017	1
17-1157-0467	19	9	32	42	88	95	15267	20519	22199.1	1	2	42	46	46	12885	8017	20549	20549	8533	8505	50	Oceania	Australia	NSW						2017-02-18	2017	2
17-1157-0495	19	9	32	42	88	95	48	8024	22037.1	1	2	42	46	46	48	8017	20549	20549	8533	8505	50	Oceania	Australia	NSW						2017-02-23	2017	2
17-1157-0260	19	9	32	42	88	95	48	8024	22037.1	1	2	42	46	46	48	8017	20549	20549	8533	8505	50	Oceania	Australia	NSW						2017-01-21	2017	1
17-1157-0464	19	9	32	42	88	95	48	8024	22037.5	1	2	42	46	46	48	8017	20549	20549	8533	8505	50	Oceania	Australia	NSW						2017-02-17	2017	2
17-1157-0352	19	9	32	42	88	95	48	8024.4	22037.4	1	2	42	46	46	48	8017	20549	20549	8533	8505	50	Oceania	Australia	NSW						2017-02-06	2017	2
17-1157-0219	19	9	32	42	88	95	6682.5	8024.3	22037.3	1	2	42	46	46	48	8017	20549	20549	8533	8505	50	Oceania	Australia	NSW						2017-01-20	2017	1
17-1157-0268	19	9	32	42	88	95	48	8024.2	22037.2	1	2	42	46	46	48	8017	20549	20549	8533	8505	50	Oceania	Australia	NSW						2017-01-27	2017	1
17-1157-0502	19	9	32	42	88	95	48	8024.5	22037.6	1	2	42	46	46	48	8017	20549	20549	8533	8505	50	Oceania	Australia	NSW						2017-02-23	2017	2
17-1157-0128	19	9	32	42	88	95	48	8024	22037.1	1	2	42	46	46	48	8017	20549	20549	8533	8505	50	Oceania	Australia	NSW						2017-01-10	2017	1
17-1157-0329	19	9	32	42	88	95	48	8024	22037.1	1	2	42	46	46	48	8017	20549	20549	8533	8505	50	Oceania	Australia	NSW						2017-02-03	2017	2
17-1157-0272	19	9	32	42	88	95	48	8024	22037.1	1	2	42	46	46	48	8017	20549	20549	8533	8505	50	Oceania	Australia	NSW						2017-02-01	2017	2
17-1157-0168	19	9	32	42	88	95	48	8024	22037.1	1	2	42	46	46	48	8017	20549	20549	8533	8505	50	Oceania	Australia	NSW						2017-01-16	2017	1
17-1157-0483	19	9	32	4662	3384	46	15220	20431	22094.1	1	2	42	46	46	9720	17954	20596	20596	19568	8505	50	Oceania	Australia	NSW						2017-02-21	2017	2
17-1157-0353	19	9	32	42	88	11654.1	15253.1	20487.1	22160.1	1	2	42	46	9404	48	8000	20648	20648	19613	8505	50	Oceania	Australia	NSW						2017-02-08	2017	2
17-1157-0418	19	9	32	42	88	95	15253	20487	22160.3	1	2	42	46	46	48	8000	20648	20648	19613	8505	50	Oceania	Australia	NSW						2017-02-12	2017	2
17-1157-0505	19	9	32	42	88	95	129	20526.1	22206.1	1	2	42	46	46	129	8000	20648	20648	19613	8505	50	Oceania	Australia	NSW						2017-02-20	2017	2
17-1157-0457	19	9	32	42	88	95	15253	20487	22196.1	1	2	42	46	46	48	8000	20648	20648	19613	8505	50	Oceania	Australia	NSW						2017-02-17	2017	2
17-1157-0354	19	9	32	42	88	95	15253	20487	22160.2	1	2	42	46	46	48	8000	20648	20648	19613	8505	50	Oceania	Australia	NSW						2017-02-10	2017	2
17-1157-0423	19	9	32	42	46	46	48	13253	22185.1	1	2	42	46	46	48	201	20664	20664	19625	8505	50	Oceania	Australia	NSW						2017-02-10	2017	2
17-1157-0515	19	9	32	42	46	46	15276	20531.1	22211.1	1	2	42	46	46	12892	201	20683	20683	13205	8505	50	Oceania	Australia	NSW						2017-02-24	2017	2
17-1157-0527	19	9	32	42	88	100	117	20406	22217.1	1	2	42	46	46	48	8022	20577	20577	19548	8521	50	Oceania	Australia	NSW						2017-02-24	2017	2
17-1157-0530	19	9	32	42	88	100	15280	20536.1	22218.1	1	2	42	46	46	48	8022	20577	20577	19548	8521	50	Oceania	Australia	NSW						2017-02-25	2017	2
17-1157-0270	19	9	32	42	88	100	117	20406	22087.1	1	2	42	46	46	48	8022	20577	20577	19548	8521	50	Oceania	Australia	NSW						2017-01-28	2017	1
17-1157-0264	19	9	32	42	88	100	15241	20467	22134.1	1	2	42	46	46	48	8022	20577	20577	19548	8521	50	Oceania	Australia	NSW						2017-01-24	2017	1
17-1157-0406	19	9	32	42	88	100	117	20406	22087.1	1	2	42	46	46	48	8022	20577	20577	19548	8521	50	Oceania	Australia	NSW						2017-02-14	2017	2
17-1157-0415	19	9	32	42	88	100	117	20427	22090.1	1	2	42	46	46	48	8022	20577	20577	19548	8521	50	Oceania	Australia	NSW						2017-02-15	2017	2
17-1157-0255	19	9	32	42	88	100	117	20463	22130.1	1	2	42	46	46	48	8022	20626	20626	19548	8521	50	Oceania	Australia	NSW						2017-01-25	2017	1
17-1157-0411	19	9	32	42	88	100	117	20406	22073.4	1	2	42	46	46	48	8022	20577	20577	19548	8521	50	Oceania	Australia	NSW						2017-02-15	2017	2
17-1157-0362	19	9	32	42	88	100	117	20406	22073.4	1	2	42	46	46	48	8022	20577	20577	19548	8521	50	Oceania	Australia	NSW						2017-02-09	2017	2
17-1157-0343	19	9	32	42	88	100	117	20406.2	22073.1	1	2	42	46	46	48	8022	20577	20577	19548	8521	50	Oceania	Australia	NSW						2017-02-06	2017	2
17-1157-0236	19	9	32	42	88	100	117	20406	22073.4	1	2	42	46	46	48	8022	20577	20577	19548	8521	50	Oceania	Australia	NSW						2017-01-26	2017	1
17-1157-0356	19	9	32	42	88	100	117	20488	22162.1	1	2	42	46	46	48	8022	20577	20577	19548	8521	50	Oceania	Australia	NSW						2017-02-09	2017	2
17-1157-0498	19	9	32	42	88	100	117	20406	22073.4	1	2	42	46	46	48	8022	20577	20577	19548	8521	50	Oceania	Australia	NSW						2017-02-22	2017	2
17-1157-0359	19	9	32	42	88	100	117	20406	22073.3	1	2	42	46	46	48	8022	20577	20577	19548	8521	50	Oceania	Australia	NSW						2017-02-09	2017	2
17-1157-0344	19	9	32	42	88	100	117	20406.3	22073.2	1	2	42	46	46	48	8022	20577	20577	19548	8521	50	Oceania	Australia	NSW						2017-02-04	2017	2
17-1157-0312	19	9	32	42	88	100	117	20406	22073.4	1	2	42	46	46	48	8022	20577	20577	19548	8521	50	Oceania	Australia	NSW						2017-02-01	2017	2
17-1157-0205	19	9	32	42	46	46	81	20367.8	22022.11	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-18	2017	1
17-1157-0259	19	9	32	42	46	46	81	20360	22015.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-23	2017	1
17-1157-0519	19	9	32	42	46	46	81	20360	22015.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-02-24	2017	2
17-1157-0381	19	9	2418.3	42	46	46	81.4	20360.3	22140.3	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-02-10	2017	2
17-1157-0251	19	9	32	42	46	46	81	20360	22015.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-22	2017	1
17-1157-0235	19	9	2418.2	42	46	46	81	20360.2	22015.3	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-25	2017	1
17-1157-0399	19	9	32	42	46	46	81	20360	22015.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-02-13	2017	2
17-1157-0057	19	9	32	42	46	46	81	20360	22015.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-01	2017	1
17-1157-0153	19	9	32	42	46	46	81	20367.5	22022.7	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-14	2017	1
17-1157-0216	19	9	32	42	46	46	15251.1	20367.1	22022.15	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-19	2017	1
17-1157-0152	19	9	32	42	46	46	81	20360	22101.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-14	2017	1
17-1157-0290	19	9	32	42	46	46	81	20367	22022.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-31	2017	1
17-1157-0288	19	9	32	42	46	46	81	20367	22022.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-31	2017	1
17-1157-0300	19	9	32	42	46	46	81	20367	22022.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-24	2017	1
17-1157-0292	19	9	32	42	46	46	81	20367	22022.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-30	2017	1
17-1157-0143	19	9	32	42	46	46	81	20367	22022.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-11	2017	1
17-1157-0396	19	9	32	42	46	46	81	20367	22022.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-02-13	2017	2
17-1157-0196	19	9	32	42	46	46	81	20367	22022.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-19	2017	1
17-1157-0138	19	9	32	42	46	46	81	20367	22022.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-14	2017	1
17-1157-0129	19	9	32	42	46	46	81	20367	22022.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-10	2017	1
17-1157-0496	19	9	32	42	46	46	81	20367	22022.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-02-20	2017	2
17-1157-0390	19	9	32	42	46	46	81	20367	22022.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-02-09	2017	2
17-1157-0245	19	9	32	42	46	46	81	20367	22022.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-20	2017	1
17-1157-0170	19	9	32	42	46	46	81	20367	22022.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-17	2017	1
17-1157-0185	19	9	32	42	46	46	81	20367	22022.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-16	2017	1
17-1157-0167	19	9	32	42	46	46	81	20367	22022.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-16	2017	1
17-1157-0180	19	9	32	42	46	46	81	20367	22022.1	1	2	42	46	46	81	201	20529	20529	19512	17165	50	Oceania	Australia	NSW						2017-01-12	2017	1
